1,1,56,53,50,48,44,34,48.811069,23.4443,11.447292,2.439939,0.173514,0,0,0,0.487553,0.087525,0,0
1,1,36,36,35,33,31,21,11.10225,5.69315,0.315949,0,0,0,0,0,0.519717,0.110886,0,1
1,1,51,49,49,44,41,32,25.949651,14.342938,1.002086,0.003122,0,0,0,0,0.507111,0.126431,0,1
1,1,47,44,41,39,34,24,137.877736,24.437388,10.652664,2.66342,0.257193,0.130121,0.001017,0,0.487769,0.11284,1,1
1,1,11,11,11,11,8,6,124.114923,49.021661,27.587546,7.706053,1.116583,0.140592,0.003056,0,0.480642,0.111047,0,0
1,1,24,24,24,23,23,14,11.834025,2.089918,0.198222,0,0,0,0,0,0.563762,0.118621,0,0
1,1,33,32,32,29,28,25,15.49109,4.974087,0.935407,0.00474,0,0,0,0,0.54934,0.118506,0,1
1,1,22,22,21,18,13,10,44.249119,19.370084,3.593958,0.129914,0.035702,0.000992,0.000992,0.000992,0.503204,0.091237,1,0
1,1,76,75,74,65,61,43,67.496987,31.455261,10.101486,1.233002,0.117211,0,0,0,0.517109,0.115689,0,1
1,1,35,34,33,31,23,14,64.555398,32.798346,12.322802,4.69705,2.101132,1.0735,0.324978,0.126868,0.568962,0.089784,1,0
1,0,8,8,6,6,4,3,61.251046,13.855744,2.107825,0.131413,0,0,0,0,0.546974,0.105339,0,1
1,1,19,19,16,16,15,11,16.862198,3.681121,0.216653,0.019876,0.003975,0.003975,0.003975,0.003975,0.555834,0.086463,1,1
1,1,14,14,13,12,10,8,47.405792,11.229419,1.873283,0.176841,0,0,0,0,0.538302,0.086364,1,0
1,1,100,81,60,45,32,18,71.199165,24.959258,4.367509,0.859064,0.109317,0.024751,0.012375,0.010313,0.520584,0.102098,1,1
1,1,60,56,46,37,29,19,247.798988,55.343818,32.199603,11.184719,3.642385,1.822757,1.132445,0.313873,0.489107,0.077165,0,1
